hole_id;depth_from;depth_to;LITH
C170942;24;25;BR
C170942;25;26;BR
C170942;26;27;BR
C170942;27;28;BR
C170942;28;29;BR
C170942;29;30;BR
C170942;30;30.55;BR
C170942;30.55;31;BR
C170942;31;32;BR
C170942;32;33;BR
C170943;0;1;LIM
C170943;1;2;LIM
C170943;2;3;LIM
C170943;3;4;LIM
C170943;4;5;LIM
C170943;5;6;LIM
C170943;6;7;LIM
C170943;7;8;LIM
C170943;8;9;LIM
C170943;9;10;LIM
C170943;10;11;SAP
C170943;11;12;SAP
C170943;12;12.75;SAP
C170943;12.75;13;SAP
C170943;13;14;SAP
C170943;14;15;SAP
C170943;15;16;SAP
C170943;16;16.5;SAP
C170943;16.5;17;SAP
C170943;17;18;SAP
C170943;18;19;SAP
C170943;19;20;SAP
C170943;20;21;SAP
C170943;21;22;SAP
C170943;22;23;SAP
C170943;23;24;SAP
C170943;24;25;SAP
C170943;25;26;SAP
C170943;26;26.5;SAP
C170944;0;1;LIM
C170944;1;2;LIM
C170944;2;3;LIM
C170944;3;4;LIM
C170944;4;5;LIM
C170944;5;6;LIM
C170944;6;7;LIM
C170944;7;8;LIM
C170944;8;8.3;LIM
C170944;8.3;8.6;LIM
C170944;8.6;9;SAP
C170944;9;10;SAP
C170944;10;11;SAP
C170944;11;11.45;SAP
C170944;11.45;12;SAP
C170944;12;12.65;SAP
C170944;12.65;13;SAP
C170944;13;14;SAP
C170944;14;15;SAP
C170944;15;15.25;SAP
C170944;15.25;16;SAP
C170944;16;17;SAP
C170944;17;18;BR
C170944;18;19;BR
C170944;19;20;BR
C170944;20;21;BR
C170944;21;22;BR
C170945;0;1;LIM
C170945;1;2;LIM
C170945;2;3;LIM
C170945;3;4;LIM
C170945;4;5;LIM
C170945;5;6;LIM
C170945;6;7;LIM
C170945;7;8;LIM
C170945;8;9;LIM
C170945;9;10;LIM
C170945;10;11;LIM
C170945;11;11.7;LIM
C170945;11.7;12;LIM
C170945;12;13;LIM
C170945;13;14;LIM
C170945;14;15;LIM
C170945;15;16;LIM
C170945;16;17;LIM
C170945;17;18;LIM
C170945;18;19;LIM
C170945;19;20;LIM
C170945;20;21;LIM
C170945;21;22;LIM
C170945;22;23;LIM
C170945;23;24;SAP
C170945;24;24.75;SAP
C170945;24.75;25;BR
C170945;25;26;BR
C170945;26;27;BR
C170945;27;28;BR
C170945;28;29;BR
C170945;29;30;BR
C170946;0;1;LIM
C170946;1;2;LIM
C170946;2;3;LIM
C170946;3;4;LIM
C170946;4;5;LIM
C170946;5;6;LIM
C170946;6;7;LIM
C170946;7;8;SAP
C170946;8;9;SAP
C170946;9;9.3;SAP
C170946;9.3;10;BR
C170946;10;10.55;BR
C170946;10.55;11;BR
C170946;11;12;BR
C170946;12;12.35;BR
C170946;12.35;13;BR
C170946;13;14;BR
C170946;14;15;BR
C170952;0.25;1;LIM
C170952;1;2;LIM
C170952;2;3;LIM
C170952;3;4;LIM
C170952;4;5;LIM
C170952;5;6;LIM
C170952;6;7;LIM
C170952;7;8;LIM
C170952;8;8.4;LIM
C170952;8.4;9;LIM
C170952;9;10;LIM
C170952;10;11;LIM
C170952;11;12;LIM
C170952;12;13;LIM
C170952;13;14;LIM
C170952;14;15;LIM
C170952;15;16;LIM
C170952;16;17;LIM
C170952;17;18;LIM
C170952;18;19;SAP
C170952;19;20;SAP
C170952;20;21;SAP
C170952;21;22;SAP
C170952;22;22.4;SAP
C170952;22.4;22.75;SAP
C170952;22.75;23;SAP
C170952;23;24;SAP
C170952;24;24.4;SAP
C170952;24.4;25;SAP
C170952;25;26;SAP
C170952;26;27;SAP
C170953;0;1;LIM
C170953;1;2;LIM
C170953;2;3;LIM
C170953;3;4;LIM
C170953;4;5;LIM
C170953;5;6;LIM
C170953;6;7;SAP
C170953;7;8;SAP
C170953;8;9;SAP
C170953;9;10;SAP
C170953;10;11;SAP
C170953;11;12;SAP
C170953;12;13;SAP
C170953;13;14;SAP
C170953;14;15;BR
C170953;15;16;BR
C170953;16;17;BR
C170954;0;1;LIM
C170954;1;2;LIM
C170954;2;3;LIM
C170954;3;4;LIM
C170954;4;5;LIM
C170954;5;6;LIM
C170954;6;7;LIM
C170954;7;8;LIM
C170954;8;9;SAP
C170954;9;10;SAP
C170954;10;11;SAP
C170954;11;11.55;SAP
C170954;11.55;12;SAP
C170954;12;12.25;SAP
C170954;12.25;12.55;SAP
C170954;12.55;13;SAP
C170954;13;13.45;SAP
C170954;13.45;14;SAP
C170954;14;15;SAP
C170954;15;16;BR
C170954;16;17;BR
C170954;17;18;BR
C170954;18;19;BR
C170954;19;19.5;BR
C170955;0;1;LIM
C170955;1;2;LIM
C170955;2;3;LIM
C170955;3;4;LIM
C170955;4;5;LIM
C170955;5;6;LIM
C170955;6;7;LIM
C170955;7;8;LIM
C170955;8;9;LIM
C170955;9;10;LIM
C170955;10;11;LIM
C170955;11;12;LIM
C170955;12;13;LIM
C170955;13;14;LIM
C170955;14;15;LIM
C170955;15;16;LIM
C170955;16;17;LIM
C170955;17;18;LIM
C170955;18;18.65;LIM
C170955;18.65;19;SAP
C170955;19;20;SAP
C170955;20;20.2;BR
C170955;20.2;21;BR
C170955;21;22;BR
C170955;22;23;BR
C170956;0;1;LIM
C170956;1;2;LIM
C170956;2;3;LIM
C170956;3;4;LIM
C170956;4;5;LIM
C170956;5;6;LIM
C170956;6;7;LIM
C170956;7;8;LIM
C170956;8;9;LIM
C170956;9;10;LIM
C170956;10;11;LIM
C170956;11;12;LIM
C170956;12;13;LIM
C170956;13;14;LIM
C170956;14;15;LIM
C170956;15;16;LIM
C170956;16;17;LIM
C170956;17;18;SAP
C170956;18;19;SAP
C170956;19;20;SAP
C170956;20;21;SAP
C170956;21;22;SAP
C170956;22;23;SAP
C170956;23;24;SAP
C170956;24;25;SAP
C170956;25;25.6;SAP
C170956;25.6;26;SAP
C170956;26;27;SAP
C170956;27;27.8;SAP
C170956;27.8;28;SAP
C170956;28;28.4;SAP
C170956;28.4;28.7;SAP
C170956;28.7;29;SAP
C170956;29;30;SAP
C170957;0;1;LIM
C170957;1;2;LIM
C170957;2;3;LIM
C170957;3;4;LIM
C170957;4;5;LIM
C170957;5;6;LIM
C170957;6;7;LIM
C170957;7;8;LIM
C170957;8;9;LIM
C170957;9;10;LIM
C170957;10;11;LIM
C170957;11;12;LIM
C170957;12;13;LIM
C170957;13;14;SAP
C170957;14;15;SAP
C170957;15;16;SAP
C170957;16;17;SAP
C170957;17;18;SAP
C170957;18;19;SAP
C170957;19;20;SAP
C170957;20;21;SAP
C170957;21;22;SAP
C170958;0;1;LIM
C170958;1;2;LIM
C170958;2;3;LIM
C170958;3;4;LIM
C170958;4;5;LIM
C170958;5;6;LIM
C170958;6;7;LIM
C170958;7;8;LIM
C170958;8;9;LIM
C170958;9;10;LIM
C170958;10;11;LIM
C170958;11;12;LIM
C170958;12;13;LIM
C170958;13;14;LIM
C170958;14;15;LIM
C170958;15;16;LIM
C170958;16;17;LIM
C170958;17;18;SAP
C170958;18;19;SAP
C170958;19;20;SAP
C170958;20;21;SAP
C170958;21;22;SAP
C170958;22;22.5;SAP
C170958;22.5;23;SAP
C170958;23;24;SAP
C170958;24;24.4;SAP
C170958;24.4;24.6;SAP
C170958;24.6;25;SAP
C170958;25;26;SAP
C170958;26;27;SAP
C170958;27;28;SAP
C170958;28;29;BR
C170958;29;30;BR
C170958;30;30.5;BR
C170959;0;1;LIM
C170959;1;2;LIM
C170959;2;3;LIM
C170959;3;4;LIM
C170959;4;5;LIM
C170959;5;6;LIM
C170959;6;7;LIM
C170959;7;8;LIM
C170959;8;9;LIM
C170959;9;10;LIM
C170959;10;11;SAP
C170959;11;12;SAP
C170959;12;13;SAP
C170959;13;13.25;SAP
C170959;13.25;14;SAP
C170959;14;15;SAP
C170959;15;16;SAP
C170959;16;17;SAP
C170959;17;18;SAP
C170959;18;19;SAP
C170959;19;20;SAP
C170959;20;21;SAP
C170959;21;21.25;SAP
C170959;21.25;22;SAP
C170959;22;22.35;SAP
C170959;22.35;22.65;SAP
C170959;22.65;23;SAP
C170959;23;24;SAP
C170959;24;25;SAP
C170959;25;26;SAP
C170959;26;27;SAP
C170959;27;28;SAP
C170959;28;29;SAP
C170959;29;30;SAP
C170959;30;31;SAP
C170959;31;32;SAP
C170959;32;33;SAP
C170959;33;34;SAP
C170959;34;35;SAP
C170959;35;36;SAP
C170959;36;37;SAP
C170959;37;38;SAP
C170959;38;38.75;SAP
C170959;38.75;39;SAP
C170959;39;40;SAP
C170959;40;41;SAP
C170959;41;42;BR
C170959;42;43;BR
C170959;43;44;BR
C170959;44;44.5;BR
C170960;0;1;LIM
C170960;1;2;LIM
C170960;2;3;LIM
C170960;3;4;LIM
C170960;4;5;LIM
C170960;5;6;LIM
C170960;6;7;LIM
C170960;7;8;LIM
C170960;8;9;LIM
C170960;9;9.5;SAP
C170960;9.5;10;SAP
C170960;10;10.55;SAP
C170960;10.55;11;SAP
C170960;11;11.4;SAP
C170960;11.4;12;SAP
C170960;12;12.75;SAP
C170960;12.75;13;SAP
C170960;13;14;SAP
C170960;14;15;SAP
C170960;15;16;SAP
C170960;16;17;SAP
C170960;17;18;SAP
C170960;18;19;BR
C170960;19;20;BR
C170960;20;21;BR
C170960;21;22;BR
C170960;22;23;BR
C170960;23;24;BR
C170960;24;24.4;BR
C170960;24.4;25;BR
C170960;25;26;BR
C170960;26;27;BR
C170960;27;28;BR
C170960;28;29;BR
C170960;29;30;BR
C170960;30;31;BR
C170960;31;32;BR
C170960;32;33;BR
C170960;33;34;BR
C170960;34;35;BR
C170960;35;36;BR
C171048;0;1;LIM
C171048;1;2;LIM
C171048;2;3;LIM
C171048;3;4;LIM
C171048;4;5;LIM
C171048;5;6;LIM
C171048;6;7;LIM
C171048;7;8;SAP
C171048;8;8.5;SAP
C171048;8.5;9;SAP
C171048;9;10;SAP
C171048;10;10.8;SAP
C171048;10.8;11;SAP
C171048;11;11.4;SAP
C171048;11.4;12;SAP
C171048;12;13;SAP
C171048;13;13.35;SAP
C171048;13.35;14;SAP
C171048;14;15;SAP
C171048;15;16;SAP
C171048;16;17;SAP
C171048;17;17.4;SAP
C171048;17.4;18;SAP
C171048;18;18.4;SAP
C171048;18.4;19;SAP
C171048;19;20;SAP
C171048;20;21;SAP
C171048;21;22;SAP
C171048;22;23;BR
C171048;23;23.5;BR
C171048;23.5;24;BR
C171048;24;25;BR
C171048;25;26;BR
C171048;26;27;BR
C171048;27;28;BR
C171048;28;28.5;BR
C171056;0;1;LIM
C171056;1;1.4;LIM
C171056;1.4;2;LIM
C171056;2;2.45;SAP
C171056;2.45;3;BR
C171056;3;3.5;BR
C171056;3.5;4;BR
C171056;4;4.4;BR
C171056;4.4;5;BR
C171056;5;6;BR
C171056;6;7;BR
C171056;7;8;BR
C171056;8;8.5;BR
C171056;8.5;9;BR
C171056;9;10;BR
C185611;0;1;LIM
C185611;1;2;LIM
C185611;2;3;LIM
C185611;3;4;LIM
C185611;4;5;LIM
C185611;5;6;LIM
C185611;6;7;LIM
C185611;7;8;LIM
C185611;8;9;LIM
C185611;9;10;LIM
C185611;10;11;LIM
C185611;11;12.46;SAP
C185611;12.46;13;SAP
C185611;13;14;SAP
C185611;14;14.3;SAP
C185611;14.3;14.79;SAP
C185611;14.79;15;BR
C185611;15;16;BR
C185611;16;17;BR
C185619;0;1;LIM
C185619;1;2;LIM
C185619;2;3;LIM
C185619;3;4;LIM
C185619;4;5;LIM
C185619;5;6;LIM
C185619;6;7;LIM
C185619;7;8;LIM
C185619;8;9;LIM
C185619;9;10;LIM
C185619;10;11;LIM
C185619;11;12;SAP
C185619;12;13;SAP
C185619;13;14;SAP
C185619;14;14.42;SAP
C185619;14.42;14.72;SAP
C185619;14.72;15;SAP
C185619;15;15.68;SAP
C185619;15.68;16;SAP
C185619;16;17;SAP
C185619;17;17.5;SAP
C185619;17.5;18;SAP
C185619;18;19;SAP
C185619;19;20;SAP
C185619;20;21;SAP
C185619;21;22;BR
C185619;22;23;BR
C185640;0;1;LIM
C185640;1;2;LIM
C185640;2;3;LIM
C185640;3;4;LIM
C185640;4;5;LIM
C185640;5;6;LIM
C185640;6;7;LIM
C185640;7;8;LIM
C185640;8;9;LIM
C185640;9;10;LIM
C185640;10;11;LIM
C185640;11;12;LIM
C185640;12;13;LIM
C185640;13;14;LIM
C185640;14;15;LIM
C185640;15;16;LIM
C185640;16;17;LIM
C185640;17;18;LIM
C185640;18;19;LIM
C185640;19;20;LIM
C185640;20;21;LIM
C185640;21;22;LIM
C185640;22;23;LIM
C185640;23;24;LIM
C185640;24;25;SAP
C185640;25;26;SAP
C185640;26;27;SAP
C185640;27;28;BR
C185640;28;29;BR
C185640;29;30;BR
C185640;30;31;BR
C185640;31;31.27;BR
C185640;31.27;32;BR
C185640;32;33;BR
C185640;33;33.51;BR
C185640;33.51;34;BR
C185640;34;34.43;BR
C185640;34.43;35;BR
C185640;35;36;BR
C185640;36;37;BR
C185640;37;37.5;BR
C185641;0;1;LIM
C185641;1;2;LIM
C185641;2;3;LIM
C185641;3;4;LIM
C185641;4;5;LIM
C185641;5;6;LIM
C185641;6;7;LIM
C185641;7;8;LIM
C185641;8;9;LIM
C185641;9;10;LIM
C185641;10;11;LIM
C185641;11;12;LIM
C185641;12;13;LIM
C185641;13;14;LIM
C185641;14;15;LIM
C185641;15;16;SAP
C185641;16;17;SAP
C185641;17;18;SAP
C185641;18;19;SAP
C185641;19;20;SAP
C185641;20;21;SAP
C185641;21;22;SAP
C185641;22;23;SAP
C185641;23;24;SAP
C185641;24;25;SAP
C185641;25;26;SAP
C185641;26;26.38;SAP
C185641;26.38;27;SAP
C185641;27;28;SAP
C185641;28;29;BR
C185643;0;1;LIM
C185643;1;2;LIM
C185643;2;3;LIM
C185643;3;4;LIM
C185643;4;5;LIM
C185643;5;6;LIM
C185643;6;7;LIM
C185643;7;8;LIM
C185643;8;9;LIM
C185643;9;10;LIM
C185643;10;11;LIM
